S.No.,Player Name,Club,Position,Total Attempts,On Target,Off Target,Blocked,Match Played
360,Clinton Mata,Club Brugge,Defender,2,1,1,0,6
361,Sérgio Oliveira,Porto,Midfielder,2,1,1,0,6
362,Alexis Sánchez,Inter,Forward,2,1,1,0,6
363,Pepe,Porto,Defender,2,1,1,0,5
364,Piqué,Barcelona,Defender,2,1,1,0,5
365,Mostovoy,Zenit,Midfielder,2,1,1,0,5
366,Kalulu,Milan,Defender,2,1,1,0,5
367,Mykolenko,Dynamo Kyiv,Defender,2,1,1,0,5
368,Diogo Gonçalves,Benfica,Midfielder,2,1,1,0,5
369,Vrsaljko,Atlético,Defender,2,1,1,0,5
370,Camara,Young Boys,Defender,2,1,1,0,4
371,Demir,Barcelona,Midfielder,2,1,1,0,3
372,Pezzella,Atalanta,Defender,2,1,1,0,3
373,Dost,Club Brugge,Forward,2,1,1,0,3
374,Ranocchia,Inter,Defender,2,1,1,0,3
375,Kjær,Milan,Defender,2,1,1,0,3
376,Mata,Man. United,Midfielder,2,1,1,0,3
377,Weigl,Benfica,Midfielder,2,1,0,1,9
378,Milner,Liverpool,Midfielder,2,1,0,1,8
379,Walker,Man. City,Defender,2,1,0,1,7
380,Hendry,Club Brugge,Defender,2,1,0,1,6
381,Baku,Wolfsburg,Midfielder,2,1,0,1,6
382,Hefti,Young Boys,Defender,2,1,0,1,6
383,Bennacer,Milan,Midfielder,2,1,0,1,6
384,Pogba,Man. United,Midfielder,2,1,0,1,6
385,Jesús Navas,Sevilla,Defender,2,1,0,1,4
386,Diallo,Man. United,Midfielder,2,1,0,1,1
387,Camavinga,Real Madrid,Midfielder,2,0,2,0,10
388,Mendy,Real Madrid,Defender,2,0,2,0,10
389,J. Timber,Ajax,Midfielder,2,0,2,0,8
390,Danilo,Paris,Midfielder,2,0,2,0,7
391,Arthur,Juventus,Midfielder,2,0,2,0,6
392,Zabarnyi,Dynamo Kyiv,Defender,2,0,2,0,6
393,Lacroix,Wolfsburg,Defender,2,0,2,0,6
394,Bentancur,Juventus,Midfielder,2,0,2,0,5
395,Abubakari,Malmö,Forward,2,0,2,0,4
396,Bozdoğan,Beşiktaş,Midfielder,2,0,2,0,4
397,Minamino,Liverpool,Forward,2,0,2,0,4
398,Matviyenko,Shakhtar Donetsk,Defender,2,0,2,0,4
399,Krunić,Milan,Midfielder,2,0,2,0,4
400,Henrichs,Leipzig,Defender,2,0,2,0,4
401,Sobol,Club Brugge,Defender,2,0,2,0,4
402,Verissimo,Benfica,Defender,2,0,2,0,3
403,Reinier,Dortmund,Forward,2,0,2,0,3
404,Schuurs,Ajax,Defender,2,0,2,0,3
405,Bornauw,Wolfsburg,Defender,2,0,2,0,3
406,Waldschmidt,Wolfsburg,Forward,2,0,2,0,3
407,D'Ambrosio,Inter,Defender,2,0,2,0,3
408,Bondarenko,Shakhtar Donetsk,Midfielder,2,0,2,0,2
409,Albiol,Villarreal,Defender,2,0,1,1,12
410,Onana,LOSC,Midfielder,2,0,1,1,8
411,Upamecano,Bayern,Defender,2,0,1,1,8
412,Ricardo Esgaio,Sporting CP,Defender,2,0,1,1,8
413,Fernando Costanza,Sheriff,Defender,2,0,1,1,6
414,Tonali,Milan,Midfielder,2,0,1,1,6
415,Hermoso,Atlético,Defender,2,0,1,1,6
416,De Roon,Atalanta,Midfielder,2,0,1,1,6
417,Sergio Busquets,Barcelona,Midfielder,2,0,1,1,6
418,Sarr,Bayern,Defender,2,0,1,1,5
419,Akanji,Dortmund,Defender,2,0,1,1,5
420,Kanga,Young Boys,Forward,2,0,1,1,5
421,Mbemba,Porto,Defender,2,0,1,1,5
422,Savić,Atlético,Defender,2,0,1,1,5
423,L. Nielsen,Malmö,Defender,2,0,1,1,5
424,Darmian,Inter,Defender,2,0,1,1,5
425,Vormer,Club Brugge,Midfielder,2,0,1,1,4
426,Gudmundsson,LOSC,Defender,2,0,1,1,4
427,Eric García,Barcelona,Defender,2,0,1,1,4
428,Guerreiro,Dortmund,Defender,2,0,1,1,3
429,Bakayoko,Milan,Defender,2,0,1,1,3
430,Draxler,Paris,Forward,2,0,1,1,3
431,Sergi Roberto,Barcelona,Midfielder,2,0,1,1,3
432,Marcelo,Real Madrid,Defender,2,0,1,1,3
433,Tigges,Dortmund,Forward,2,0,1,1,2
434,Olmo,Leipzig,Forward,2,0,1,1,2
435,Moukoko,Dortmund,Forward,2,0,1,1,1
436,Kolovos,Sheriff,Midfielder,2,0,0,2,6
437,Kenan Karaman,Beşiktaş,Forward,2,0,0,2,5
438,Danilo,Juventus,Defender,2,0,0,2,5
439,Moriba,Leipzig,Midfielder,2,0,0,2,3
440,João Mário,Benfica,Midfielder,1,1,0,0,8
441,Gomez,Liverpool,Defender,1,1,0,0,7
442,Klaassen,Ajax,Midfielder,1,1,0,0,7
443,Matheus Nunes,Sporting CP,Midfielder,1,1,0,0,6
444,Meunier,Dortmund,Defender,1,1,0,0,6
445,M. Olsson,Malmö,Defender,1,1,0,0,6
446,Witsel,Dortmund,Midfielder,1,1,0,0,6
447,Kulusevski,Juventus,Midfielder,1,1,0,0,5
448,Correa,Inter,Forward,1,1,0,0,5
449,Montiel,Sevilla,Defender,1,1,0,0,4
450,Vranckx,Wolfsburg,Midfielder,1,1,0,0,4
451,Kjærgaard,Salzburg,Midfielder,1,1,0,0,4
452,Rafael Leão,Milan,Forward,1,1,0,0,4
453,Montero,Beşiktaş,Defender,1,1,0,0,4
454,Van de Beek,Man. United,Midfielder,1,1,0,0,4
455,Alex Telles,Man. United,Defender,1,1,0,0,4
456,Tymchyk,Dynamo Kyiv,Defender,1,1,0,0,4
457,Óliver Torres,Sevilla,Midfielder,1,1,0,0,4
458,Rugani,Juventus,Defender,1,1,0,0,4
459,Julien,Sheriff,Defender,1,1,0,0,3
460,Messias Junior,Milan,Forward,1,1,0,0,2
461,Morato,Benfica,Defender,1,1,0,0,2
462,Traoré,Shakhtar Donetsk,Forward,1,1,0,0,2
463,Fábio Vieira,Porto,Midfielder,1,1,0,0,2
464,Bürgy,Young Boys,Defender,1,1,0,0,2
465,Sandra,Club Brugge,Midfielder,1,1,0,0,1
466,Novoa,Leipzig,Midfielder,1,1,0,0,1
467,Edwards,Sporting CP,Forward,1,1,0,0,1
468,Ozdoev,Zenit,Midfielder,1,1,0,0,1
469,Nacho,Real Madrid,Defender,1,0,1,0,9
470,Bastoni,Inter,Defender,1,0,1,0,8
471,Hakimi,Paris,Defender,1,0,1,0,8
472,Matić,Man. United,Midfielder,1,0,1,0,8
473,Gonçalo Inácio,Sporting CP,Defender,1,0,1,0,7
474,Tiago Djaló,LOSC,Defender,1,0,1,0,7
475,Felipe,Atlético,Defender,1,0,1,0,7
476,Addo,Sheriff,Midfielder,1,0,1,0,6
477,Arboleda,Sheriff,Defender,1,0,1,0,6
478,Feddal,Sporting CP,Defender,1,0,1,0,6
479,Zaidu,Porto,Defender,1,0,1,0,6
480,Innocent,Malmö,Midfielder,1,0,1,0,6
481,Mbabu,Wolfsburg,Defender,1,0,1,0,6
482,Roussillon,Wolfsburg,Defender,1,0,1,0,6
483,Rosier,Beşiktaş,Defender,1,0,1,0,5
484,Brobbey,Ajax,Forward,1,0,1,0,5
485,Syrota,Dynamo Kyiv,Defender,1,0,1,0,5
486,Paredes,Paris,Midfielder,1,0,1,0,5
487,Romagnoli,Milan,Defender,1,0,1,0,5
488,Shaw,Man. United,Defender,1,0,1,0,5
489,Aurier,Villarreal,Defender,1,0,1,0,5
490,Guilavogui,Wolfsburg,Midfielder,1,0,1,0,5
