S.No.,Player Name,Club,Position,Goals,Right Foot,Left Foot,Headers,Others,Inside Box,Outside Box,Penalties,Matches Played
40,Yaremchuk,Benfica,Forward,3,0,2,1,0,3,0,0,10
41,Havertz,Chelsea,Midfielder,3,0,1,2,0,3,0,0,9
42,Haaland,Dortmund,Forward,3,0,1,2,0,3,0,0,3
43,Jorginho,Chelsea,Midfielder,2,2,0,0,0,2,0,2,8
44,Rakitić,Sevilla,Midfielder,2,2,0,0,0,2,0,2,5
45,Pulišić,Chelsea,Midfielder,2,2,0,0,0,2,0,0,7
46,Fernando,Shakhtar Donetsk,Midfielder,2,2,0,0,0,2,0,0,5
47,Azmoun,Zenit,Forward,2,2,0,0,0,2,0,0,5
48,Forsberg,Leipzig,Forward,2,2,0,0,0,1,1,1,6
49,João Cancelo,Man. City,Defender,2,2,0,0,0,1,1,0,9
50,Sarabia,Sporting CP,Forward,2,1,1,0,0,2,0,1,8
51,Szoboszlai,Leipzig,Midfielder,2,1,1,0,0,2,0,1,4
52,Capoue,Villarreal,Midfielder,2,1,1,0,0,2,0,0,12
53,Coman,Bayern,Forward,2,1,1,0,0,2,0,0,9
54,Morata,Juventus,Forward,2,1,1,0,0,2,0,0,7
55,Tadić,Ajax,Forward,2,1,1,0,0,2,0,0,7
56,Rits,Club Brugge,Midfielder,2,1,1,0,0,2,0,0,6
57,Kroos,Real Madrid,Midfielder,2,1,1,0,0,0,2,0,12
58,De Bruyne,Man. City,Midfielder,2,1,0,1,0,2,0,0,10
59,Claudinho,Zenit,Midfielder,2,1,0,1,0,2,0,0,6
60,Siebatcheu,Young Boys,Forward,2,1,0,1,0,2,0,0,6
61,L. Nmecha,Wolfsburg,Forward,2,1,0,1,0,2,0,0,5
62,Chukwueze,Villarreal,Midfielder,2,0,2,0,0,2,0,0,9
63,Antony,Ajax,Forward,2,0,2,0,0,2,0,0,7
64,Steffen,Wolfsburg,Midfielder,2,0,2,0,0,2,0,0,5
65,Chiesa,Juventus,Forward,2,0,2,0,0,2,0,0,4
66,Gerard Moreno,Villarreal,Forward,2,0,1,1,0,2,0,1,7
67,Traore,Sheriff,Midfielder,2,0,1,1,0,2,0,0,6
68,Lukaku,Chelsea,Forward,2,0,1,1,0,2,0,0,6
69,Wijnaldum,Paris,Midfielder,2,0,1,1,0,2,0,0,5
70,S. Thill,Sheriff,Midfielder,2,0,1,0,1,0,2,0,6
71,Konaté,Liverpool,Defender,2,0,0,2,0,2,0,0,8
72,Coates,Sporting CP,Defender,2,0,0,2,0,2,0,0,6
73,Luis Suárez,Atlético,Forward,1,1,0,0,0,1,0,1,7
74,Sérgio Oliveira,Porto,Midfielder,1,1,0,0,0,1,0,1,6
75,Fabinho,Liverpool,Midfielder,1,1,0,0,0,1,0,0,13
76,Pau Torres,Villarreal,Defender,1,1,0,0,0,1,0,0,12
77,Correa,Atlético,Forward,1,1,0,0,0,1,0,0,10
78,Gilberto,Benfica,Defender,1,1,0,0,0,1,0,0,9
79,De Paul,Atlético,Midfielder,1,1,0,0,0,1,0,0,9
80,Rafa Silva,Benfica,Forward,1,1,0,0,0,1,0,0,9
81,Trigueros,Villarreal,Midfielder,1,1,0,0,0,1,0,0,9
82,Azpilicueta,Chelsea,Defender,1,1,0,0,0,1,0,0,9
83,Dia,Villarreal,Forward,1,1,0,0,0,1,0,0,8
84,Adamu,Salzburg,Forward,1,1,0,0,0,1,0,0,8
85,Christensen,Chelsea,Defender,1,1,0,0,0,1,0,0,8
86,Škriniar,Inter,Defender,1,1,0,0,0,1,0,0,8
87,Brozović,Inter,Midfielder,1,1,0,0,0,1,0,0,8
88,Gonçalo Ramos,Benfica,Forward,1,1,0,0,0,1,0,0,7
89,Sancho,Man. United,Midfielder,1,1,0,0,0,1,0,0,7
90,Mount,Chelsea,Midfielder,1,1,0,0,0,1,0,0,7
91,Grealish,Man. City,Midfielder,1,1,0,0,0,1,0,0,7
92,Klaassen,Ajax,Midfielder,1,1,0,0,0,1,0,0,7
93,Gueye,Paris,Midfielder,1,1,0,0,0,1,0,0,7
94,Walker,Man. City,Defender,1,1,0,0,0,1,0,0,7
95,Elia,Young Boys,Forward,1,1,0,0,0,1,0,0,6
96,Bellingham,Dortmund,Midfielder,1,1,0,0,0,1,0,0,6
97,Wendel,Zenit,Midfielder,1,1,0,0,0,1,0,0,6
